I0208 07:36:34.372107       1 background.go:222] repository MODIFIED event handling: repo default:catalog-workloads-free5gc, handling completed in 235.2363ms
I0208 07:36:34.372153       1 background.go:183] repository MODIFIED event handling: repo default:catalog-workloads-tools, handling starting
I0208 07:36:34.412272       1 background.go:222] repository MODIFIED event handling: repo default:catalog-workloads-tools, handling completed in 40.112343ms
I0208 07:36:34.412311       1 background.go:183] repository MODIFIED event handling: repo default:catalog-distros-sandbox, handling starting
I0208 07:36:34.457146       1 background.go:222] repository MODIFIED event handling: repo default:catalog-distros-sandbox, handling completed in 44.827364ms
I0208 07:36:34.457185       1 background.go:183] repository MODIFIED event handling: repo default:oai-core-packages, handling starting
I0208 07:36:34.497377       1 background.go:222] repository MODIFIED event handling: repo default:oai-core-packages, handling completed in 40.188662ms
I0208 07:36:34.497410       1 background.go:183] repository MODIFIED event handling: repo default:catalog-workloads-oai-ran, handling starting
I0208 07:36:34.617815       1 repository.go:589] repo default:catalog-nephio-core:nephio/core:main: refresh finished in 0.481009 secs
I0208 07:36:34.618000       1 repository.go:540] repositorySync default:catalog-nephio-core:nephio/core:main: sync finished in 584.901516ms
W0208 07:36:34.618024       1 sync.go:183] repositorySync default:catalog-nephio-core:nephio/core:main: repo or sync spec is nil, falling back to default interval: 3m0s
I0208 07:36:34.618038       1 sync.go:230] repositorySync default:catalog-nephio-core:nephio/core:main: next scheduled time: 2026-02-08 07:39:34.618033701 +0000 UTC m=+91462.736490636
I0208 07:36:34.701959       1 background.go:222] repository MODIFIED event handling: repo default:catalog-workloads-oai-ran, handling completed in 204.538371ms
I0208 07:36:34.702004       1 background.go:183] repository MODIFIED event handling: repo default:catalog-nephio-optional, handling starting
I0208 07:36:34.786709       1 background.go:222] repository MODIFIED event handling: repo default:catalog-nephio-optional, handling completed in 84.697083ms
I0208 07:36:34.786765       1 background.go:183] repository MODIFIED event handling: repo default:catalog-infra-capi, handling starting
I0208 07:36:34.801636       1 repository.go:589] repo default:catalog-workloads-free5gc:workloads/free5gc:main: refresh finished in 0.429548 secs
I0208 07:36:34.801821       1 repository.go:540] repositorySync default:catalog-workloads-free5gc:workloads/free5gc:main: sync finished in 762.258212ms
W0208 07:36:34.801844       1 sync.go:183] repositorySync default:catalog-workloads-free5gc:workloads/free5gc:main: repo or sync spec is nil, falling back to default interval: 3m0s
I0208 07:36:34.801859       1 sync.go:230] repositorySync default:catalog-workloads-free5gc:workloads/free5gc:main: next scheduled time: 2026-02-08 07:39:34.801853792 +0000 UTC m=+91462.920310740
I0208 07:36:34.829459       1 background.go:222] repository MODIFIED event handling: repo default:catalog-infra-capi, handling completed in 42.688274ms
I0208 07:36:34.829498       1 background.go:183] repository MODIFIED event handling: repo default:catalog-nephio-core, handling starting
I0208 07:36:34.871027       1 background.go:222] repository MODIFIED event handling: repo default:catalog-nephio-core, handling completed in 41.522624ms
I0208 07:36:34.871082       1 background.go:183] repository MODIFIED event handling: repo default:catalog-workloads-free5gc, handling starting
I0208 07:36:34.886729       1 repository.go:589] repo default:catalog-distros-sandbox:distros/sandbox:main: refresh finished in 0.429600 secs
I0208 07:36:34.886955       1 repository.go:540] repositorySync default:catalog-distros-sandbox:distros/sandbox:main: sync finished in 801.848593ms
W0208 07:36:34.886977       1 sync.go:183] repositorySync default:catalog-distros-sandbox:distros/sandbox:main: repo or sync spec is nil, falling back to default interval: 3m0s
I0208 07:36:34.886990       1 sync.go:230] repositorySync default:catalog-distros-sandbox:distros/sandbox:main: next scheduled time: 2026-02-08 07:39:34.886985653 +0000 UTC m=+91463.005442601
I0208 07:36:34.910866       1 background.go:222] repository MODIFIED event handling: repo default:catalog-workloads-free5gc, handling completed in 39.777308ms
I0208 07:36:34.910904       1 background.go:183] repository MODIFIED event handling: repo default:catalog-distros-sandbox, handling starting
I0208 07:36:34.953288       1 background.go:222] repository MODIFIED event handling: repo default:catalog-distros-sandbox, handling completed in 42.376919ms
I0208 07:36:35.052996       1 repository.go:589] repo default:catalog-workloads-oai-ran:workloads/oai:main: refresh finished in 0.351051 secs
I0208 07:36:35.053391       1 repository.go:540] repositorySync default:catalog-workloads-oai-ran:workloads/oai:main: sync finished in 817.51053ms
W0208 07:36:35.053431       1 sync.go:183] repositorySync default:catalog-workloads-oai-ran:workloads/oai:main: repo or sync spec is nil, falling back to default interval: 3m0s
I0208 07:36:35.053456       1 sync.go:230] repositorySync default:catalog-workloads-oai-ran:workloads/oai:main: next scheduled time: 2026-02-08 07:39:35.053448388 +0000 UTC m=+91463.171905366
I0208 07:36:35.064604       1 repository.go:589] repo default:catalog-nephio-optional:nephio/optional:main: refresh finished in 0.277907 secs
I0208 07:36:35.065070       1 repository.go:540] repositorySync default:catalog-nephio-optional:nephio/optional:main: sync finished in 755.739373ms
W0208 07:36:35.065112       1 sync.go:183] repositorySync default:catalog-nephio-optional:nephio/optional:main: repo or sync spec is nil, falling back to default interval: 3m0s
I0208 07:36:35.065136       1 sync.go:230] repositorySync default:catalog-nephio-optional:nephio/optional:main: next scheduled time: 2026-02-08 07:39:35.065128312 +0000 UTC m=+91463.183585277
I0208 07:36:35.068634       1 background.go:183] repository MODIFIED event handling: repo default:catalog-workloads-oai-ran, handling starting
I0208 07:36:35.075601       1 repository.go:589] repo default:catalog-infra-capi:infra/capi:main: refresh finished in 0.280631 secs
I0208 07:36:35.075934       1 repository.go:540] repositorySync default:catalog-infra-capi:infra/capi:main: sync finished in 747.588893ms
W0208 07:36:35.075955       1 sync.go:183] repositorySync default:catalog-infra-capi:infra/capi:main: repo or sync spec is nil, falling back to default interval: 3m0s
I0208 07:36:35.075967       1 sync.go:230] repositorySync default:catalog-infra-capi:infra/capi:main: next scheduled time: 2026-02-08 07:39:35.075962739 +0000 UTC m=+91463.194419690
I0208 07:36:35.115520       1 background.go:222] repository MODIFIED event handling: repo default:catalog-workloads-oai-ran, handling completed in 46.884484ms
I0208 07:36:35.115565       1 background.go:183] repository MODIFIED event handling: repo default:catalog-nephio-optional, handling starting
I0208 07:36:35.157362       1 background.go:222] repository MODIFIED event handling: repo default:catalog-nephio-optional, handling completed in 41.78895ms
I0208 07:36:35.157414       1 background.go:183] repository MODIFIED event handling: repo default:catalog-infra-capi, handling starting
